"combined_pvalue" "adjusted_pvalue"
"Ace2" 0.100566367568348 0.587101130977245
"Adora2a" 0.0631495973431713 0.375940270131295
"Aldh1l1" 1.11022302462516e-16 1.02512306578843e-15
"Amigo2" 1.11022302462516e-16 1.02512306578843e-15
"Ano3" 9.29065994248468e-07 6.67218178943748e-06
"Aqp4" 5.55e-17 6.6080183786138e-16
"Ar" 5.55e-17 6.6080183786138e-16
"Arhgap36" 5.55e-17 6.6080183786138e-16
"Avpr1a" 0.000818650351469996 0.00525377163351992
"Avpr2" 0.0777476555611951 0.459819857504928
"Baiap2" 1.11022302462516e-16 1.02512306578843e-15
"Bdnf" 5.55e-17 6.6080183786138e-16
"Blank_1" 0.0207109203757256 0.127489352559183
"Blank_2" 0.0545455802599146 0.326869553833959
"Blank_3" 0.0186579944806191 0.115638901063019
"Blank_4" 0.75845631155166 1
"Blank_5" 0.0966692845417805 0.568014778008243
"Bmp7" 1.91200388854895e-11 1.55868244379345e-10
"Brs3" 2.22044604925031e-16 2.00924120894532e-15
"Calcr" 1.11022302462516e-16 1.02512306578843e-15
"Cbln1" 5.55e-17 6.6080183786138e-16
"Cbln2" 5.55e-17 6.6080183786138e-16
"Cckar" 3.76463304974095e-11 3.04156063865558e-10
"Cckbr" 5.55e-17 6.6080183786138e-16
"Ccnd2" 5.55e-17 6.6080183786138e-16
"Cd24a" 5.55e-17 6.6080183786138e-16
"Cdkn1a" 3.44680784156726e-05 0.000236284368947805
"Cenpe" 0.0236003055770659 0.144293830381734
"Chat" 0.0105691841708884 0.0664157107965718
"Coch" 5.55e-17 6.6080183786138e-16
"Col25a1" 1.11022302462516e-16 1.02512306578843e-15
"Cplx3" 4.54700049346002e-06 3.18953331231872e-05
"Cpne5" 1.11022302462516e-16 1.02512306578843e-15
"Creb3l1" 3.39475114685683e-10 2.67117262148534e-09
"Crhbp" 1.11022302462516e-16 1.02512306578843e-15
"Crhr1" 4.08200897705768e-06 2.88573094875681e-05
"Crhr2" 7.01854685480896e-09 5.29246273601835e-08
"Cspg5" 5.55e-17 6.6080183786138e-16
"Cxcl14" 1.11022302462516e-16 1.02512306578843e-15
"Cyp19a1" 1.76783543359704e-09 1.37903629497301e-08
"Cyp26a1" 0.672090386958063 1
"Cyr61" 5.55e-17 6.6080183786138e-16
"Dgkk" 5.55e-17 6.6080183786138e-16
"Ebf3" 5.55e-17 6.6080183786138e-16
"Egr2" 0.000921559607481193 0.00587255290654755
"Ermn" 5.55e-17 6.6080183786138e-16
"Esr1" 5.55e-17 6.6080183786138e-16
"Etv1" 5.55e-17 6.6080183786138e-16
"Fbxw13" 0.403155020097592 1
"Fezf1" 2.22044604925031e-16 2.00924120894532e-15
"Fn1" 5.55e-17 6.6080183786138e-16
"Fst" 9.41529076925463e-11 7.53957984164121e-10
"Gabra1" 5.55e-17 6.6080183786138e-16
"Gabrg1" 5.55e-17 6.6080183786138e-16
"Gad1" 5.55e-17 6.6080183786138e-16
"Galr1" 8.88178419700125e-16 7.87937728998165e-15
"Galr2" 1.72786854522045e-05 0.000119352426903384
"Gbx2" 0.000239741149503425 0.00159512795540774
"Gda" 5.55e-17 6.6080183786138e-16
"Gem" 5.55e-17 6.6080183786138e-16
"Gjc3" 5.55e-17 6.6080183786138e-16
"Glra3" 5.55e-17 6.6080183786138e-16
"Gpr165" 1.11022302462516e-16 1.02512306578843e-15
"Greb1" 1.11022302462516e-16 1.02512306578843e-15
"Grpr" 0.000488049056980633 0.003200193530522
"Htr2c" 5.55e-17 6.6080183786138e-16
"Igf1r" 1.23764410431271e-06 8.81828047171151e-06
"Igf2r" 2.04300807826741e-07 1.49087162829469e-06
"Irs4" 5.55e-17 6.6080183786138e-16
"Isl1" 1.11022302462516e-16 1.02512306578843e-15
"Kiss1r" 3.3702055590723e-09 2.58443869419495e-08
"Klf4" 7.51732009973693e-13 6.35727674101344e-12
"Lepr" 2.03547623200961e-10 1.61567139343557e-09
"Lmod1" 5.55e-17 6.6080183786138e-16
"Lpar1" 5.55e-17 6.6080183786138e-16
"Man1a" 1.10844666778576e-12 9.2871593657917e-12
"Mc4r" 2.116114616868e-09 1.63660991028459e-08
"Mki67" 0.0369972762012613 0.224685649233212
"Mlc1" 5.55e-17 6.6080183786138e-16
"Myh11" 5.55e-17 6.6080183786138e-16
"Ndnf" 0.00106654024814368 0.00674890108556821
"Ndrg1" 5.55e-17 6.6080183786138e-16
"Necab1" 5.55e-17 6.6080183786138e-16
"Nos1" 5.55e-17 6.6080183786138e-16
"Npas1" 7.49642684677587e-05 0.000510028585610593
"Npy1r" 2.9903584941593e-08 2.23629831805776e-07
"Npy2r" 5.55e-17 6.6080183786138e-16
"Ntng1" 5.55e-17 6.6080183786138e-16
"Ntsr1" 8.86014519529965e-08 6.51819845289276e-07
"Nup62cl" 0.000781556950546047 0.00505154755056325
"Omp" 1.86606285978996e-12 1.54914340550243e-11
"Onecut2" 5.55e-17 6.6080183786138e-16
"Opalin" 8.88178419700125e-16 7.87937728998165e-15
"Oprd1" 0.000638478739832138 0.00415645891223717
"Oprk1" 5.55e-17 6.6080183786138e-16
"Oprl1" 5.55e-17 6.6080183786138e-16
"Oxtr" 0.000287743744438407 0.00190054070257238
"Pak3" 5.55e-17 6.6080183786138e-16
"Pcdh11x" 5.55e-17 6.6080183786138e-16
"Pdgfra" 6.08873937557597e-06 4.23814570883723e-05
"Pgr" 5.55e-17 6.6080183786138e-16
"Plin3" 1.11022302462516e-16 1.02512306578843e-15
"Pnoc" 1.11022302462516e-16 1.02512306578843e-15
"Pou3f2" 5.55e-17 6.6080183786138e-16
"Prlr" 5.55e-17 6.6080183786138e-16
"Ramp3" 2.1094237467878e-15 1.83536456586351e-14
"Rgs2" 5.55e-17 6.6080183786138e-16
