"x" "y" "cell_label"
"1" 935.4272463 2535.858258 "Endothelial"
"2" 938.3505604 2453.827185 "Endothelial"
"3" 944.1612057 2514.274329 "Endothelial"
"4" 942.0206499 2392.668177 "Endothelial"
"5" 951.64935 2392.131835 "Endothelial"
"6" 953.1417875 2548.750723 "Astrocyte"
"7" 973.2198502 2460.317678 "Endothelial"
"8" 974.7219304 2563.580669 "Mature OD"
"9" 974.2323407 2514.057789 "Astrocyte"
"10" 979.841931 2420.833922 "Endothelial"
"11" 983.9976716 2475.232714 "Microglia"
"12" 987.721257 2465.510106 "Endothelial"
"13" 989.955668 2483.904746 "Astrocyte"
"14" 989.5599355 2420.241323 "Endothelial"
"15" 994.9487636 2516.63487 "Inhibitory"
"16" 1000.972606 2423.691666 "Endothelial"
"17" 1011.755481 2487.404527 "Endothelial"
"18" 1015.958573 2543.295634 "Mature OD"
"19" 1019.598352 2518.199753 "Immature OD"
"20" 1033.800553 2554.027902 "Astrocyte"
"21" 1050.754104 2443.478137 "Endothelial"
"22" 1053.849091 2450.228667 "Pericytes"
"23" 1070.477068 2506.476616 "Astrocyte"
"24" 1076.652876 2499.260451 "Pericytes"
"25" 1081.454883 2497.150987 "Pericytes"
"26" 1087.028626 2500.239275 "Pericytes"
"27" 1097.05808 2503.51082 "Pericytes"
"28" 1105.698813 2502.713368 "Pericytes"
"29" 1107.455318 2460.132228 "Endothelial"
"30" 1112.402237 2544.295605 "Astrocyte"
"31" 1121.581592 2452.717635 "Pericytes"
"32" 938.3052167 2479.529052 "Astrocyte"
"33" 956.4969099 2399.603473 "Endothelial"
"34" 964.8060459 2404.872337 "Endothelial"
"35" 1014.41568 2425.810506 "Endothelial"
"36" 1034.784406 2497.295766 "Astrocyte"
"37" 1047.295313 2438.810108 "Endothelial"
"38" 1046.254601 2497.129698 "Astrocyte"
"39" 1075.345445 2492.442514 "Pericytes"
"40" 1087.839417 2439.243474 "Pericytes"
"41" 1116.807603 2497.56823 "Pericytes"
"42" 1119.851483 2484.133752 "Endothelial"
"43" 1030.692795 2455.752648 "Pericytes"
"44" 1055.620729 2549.428694 "Inhibitory"
"45" 1064.829733 2507.763144 "Astrocyte"
"46" 1101.369153 2572.578867 "Inhibitory"
"47" 1107.572471 2480.720475 "Pericytes"
"48" 1073.423915 2513.339626 "Astrocyte"
"49" 960.1691903 2465.319932 "Astrocyte"
"50" 1020.588805 2459.67806 "Pericytes"
"51" 1043.207975 2473.597652 "Endothelial"
"52" 1054.310691 2495.236672 "Pericytes"
"53" 1070.573026 2437.276417 "Pericytes"
"54" 1076.336503 2441.608559 "Pericytes"
"55" 1101.335896 2441.422284 "Pericytes"
"56" 1101.566658 2449.984623 "Endothelial"
"57" 936.6995214 2738.936427 "Mature OD"
"58" 953.3528079 2653.039736 "Mature OD"
"59" 954.7659004 2701.510981 "Excitatory"
"60" 963.2112731 2591.167513 "Inhibitory"
"61" 967.8410075 2631.985243 "Inhibitory"
"62" 967.3415318 2745.784934 "Mature OD"
"63" 973.4277401 2764.931728 "Mature OD"
"64" 982.3717448 2684.748522 "Astrocyte"
"65" 989.0143041 2635.96052 "Astrocyte"
"66" 993.9217669 2770.743824 "Excitatory"
"67" 994.5747135 2591.145294 "Inhibitory"
"68" 1007.445061 2764.043374 "Endothelial"
"69" 1013.428874 2719.670111 "Immature OD"
"70" 1016.704405 2618.910847 "Mature OD"
"71" 1018.091972 2690.692132 "Microglia"
"72" 1021.289899 2737.865143 "Inhibitory"
"73" 1023.532974 2650.363097 "Excitatory"
"74" 1029.373309 2607.933666 "Excitatory"
"75" 1033.050852 2628.501336 "Excitatory"
"76" 1033.619842 2753.454606 "Astrocyte"
"77" 1032.713017 2763.336061 "Inhibitory"
"78" 1033.590858 2672.619864 "Inhibitory"
"79" 1040.140819 2605.861927 "Astrocyte"
"80" 1044.618235 2686.907983 "Pericytes"
"81" 1046.546665 2694.287589 "Pericytes"
"82" 1052.686242 2675.413579 "Pericytes"
"83" 1049.852571 2688.627976 "Pericytes"
"84" 1061.124017 2649.313323 "Excitatory"
"85" 1064.09114 2681.576906 "Pericytes"
"86" 1064.618796 2673.929718 "Pericytes"
"87" 1065.487441 2601.217793 "Astrocyte"
"88" 1075.750039 2622.380021 "Astrocyte"
"89" 1073.802103 2750.064814 "Inhibitory"
"90" 1092.417105 2765.660185 "Astrocyte"
"91" 1090.730465 2600.880891 "Inhibitory"
"92" 1100.592111 2689.54485 "Inhibitory"
"93" 1114.062074 2638.833501 "Inhibitory"
"94" 938.2505265 2676.178256 "Inhibitory"
"95" 969.387061 2611.098201 "Excitatory"
"96" 993.4395867 2647.757804 "Astrocyte"
"97" 1001.654031 2664.617263 "Excitatory"
"98" 1014.312343 2636.51238 "Inhibitory"
"99" 1054.349882 2605.656445 "Endothelial"
"100" 1058.272714 2622.395079 "Mature OD"
"101" 1075.84055 2692.049894 "Excitatory"
"102" 1093.526051 2666.138623 "Mature OD"
"103" 1099.662076 2725.755441 "Inhibitory"
"104" 1108.63896 2708.814332 "Astrocyte"
"105" 943.1083197 2738.81377 "Astrocyte"
"106" 999.0566512 2726.247003 "Inhibitory"
"107" 1044.728977 2628.671 "Inhibitory"
"108" 1056.281028 2713.609546 "Mature OD"
"109" 1064.648224 2700.398199 "Inhibitory"
"110" 1063.084312 2743.776801 "Inhibitory"
"111" 1070.940404 2707.363484 "Inhibitory"
"112" 1093.899296 2757.387524 "Inhibitory"
